types,name,distance,reviews,rating
"['museum', 'point_of_interest', 'establishment']",Electric City Trolley Museum,8.850186577860114,"[{'text': ""Spectacular!!!!! This museum is just amazing. I love these fringes-of-history type places. Such interesting stuff. We came in the winter-cant wait to come back in summer and ride the trolley! Scranton has such a neat history. You gotta see this place, also, you can't miss the Oliver train. What a funny thing. Nice people, lots of parking too."", 'author_name': 'Liam Tahaney', 'relative_time_description': '2 months ago', 'rating': 5}, {'text': 'Well priced and tons to do there for all age ranges. The gift shop had reasonably priced products for sale as well. We enjoyed our visit and would love to return soon.', 'author_name': 'Bryan Torres', 'relative_time_description': 'a month ago', 'rating': 5}, {'text': ""This is a fine museum and there are some interesting exhibits, specifically the close look at how the trolleys were powered and a cut-away that shows the drive system in a restored trolley. \n\nThat said, it's fairly small for how much it costs to get in. It also seemed like there were many exhibits that simply weren't up to par with the rest of the museum, to the point that some cases didn't even have labels to explain what was inside of them. \n\nStill very much worth stopping in and checking out, especially if you're already going to Steamtown which shares a parking lot with the Trolley Museum."", 'author_name': 'Tom Nardi', 'relative_time_description': '2 months ago', 'rating': 4}, {'text': 'Great staff! Fun day trip, and inexpensive. Great for little ones of all ages.', 'author_name': 'Heather Macaluso', 'relative_time_description': 'in the last week', 'rating': 5}, {'text': 'Went today with co-workers to buy gifts from the gift shop. We arrived at 345pm knowing that they close at 4pm. We found the doors locked and when an employee opened the door he was adamant that he would not take care of us. When asked why he said that ""we do not close at 4pm we LEAVE at 4pm"". He continued to tell us the cash registers were already locked and he said to come back in the morning. Is it any wonder why Scranton is broke when it\'s own employees refuse to make a sale. SMH', 'author_name': 'En Elisseou', 'relative_time_description': 'a month ago', 'rating': 1}]",4.5
"['museum', 'point_of_interest', 'establishment']",Scranton Iron Furnaces,7.746950252873293,"[{'text': 'Nice little spot to stop and walk through. Very interesting history and neat to see up close.', 'author_name': 'Helen Rebernik', 'relative_time_description': '2 months ago', 'rating': 5}, {'text': 'Great place to learn some history And you can have a wedding their also every October their is a bonfire you can go to and get food and drinks and learn about the iron furnaces good place for kids and adults', 'author_name': 'Brian dippel', 'relative_time_description': '4 months ago', 'rating': 5}, {'text': ""Impressive relic of Scranton's industry. There isn't much to see but the massive arches of the furnace are interesting. Great place to stop if you happen to pass by."", 'author_name': 'Kenneth Gaughan', 'relative_time_description': '7 months ago', 'rating': 3}, {'text': ""There wasn't a lot to see. But we always enjoy learning about the history of places we visit. This is just a nice place to stop for a few minutes."", 'author_name': 'radine riedesel', 'relative_time_description': '9 months ago', 'rating': 3}, {'text': 'A lovely place to take in some history.  Very well placed markers with lots of information.', 'author_name': 'Nayda Figueroa', 'relative_time_description': '7 months ago', 'rating': 5}]",4.3
"['museum', 'point_of_interest', 'establishment']",Catlin House Museum,7.46911665301739,"[{'text': '', 'author_name': 'Beverly Tomek', 'relative_time_description': '2 months ago', 'rating': 5}]",5.0
"['museum', 'point_of_interest', 'establishment']",Graceland,9.334939886389288,[],
"['museum', 'store', 'point_of_interest', 'establishment']",Miniature Memories,4.791139197594648,"[{'text': '', 'author_name': 'Ronald Bryndza', 'relative_time_description': '8 months ago', 'rating': 5}, {'text': '', 'author_name': 'Bert Goessens', 'relative_time_description': '3 years ago', 'rating': 2}]",3.5
"['museum', 'point_of_interest', 'establishment']",Dunmore Tank Memorial,6.699511228898421,"[{'text': 'Well maintained tank in the center of the square.', 'author_name': 'Austin LaLonde', 'relative_time_description': '9 months ago', 'rating': 5}, {'text': 'Nice tribute to vets', 'author_name': 'John Gilhooley', 'relative_time_description': 'a year ago', 'rating': 5}]",5.0
"['museum', 'point_of_interest', 'establishment']",Toy Soldier Museum,11.40505545856624,"[{'text': 'If you are a history buff or an Anglophile this intimate private collection museum is a hidden jewel. Tours by appointment. Hand made diaramas have been featured in Hollywood movies.', 'author_name': 'Chris Merli', 'relative_time_description': 'a week ago', 'rating': 5}]",5.0
"['museum', 'point_of_interest', 'establishment']",Newark Museum,3.2538609164373997,"[{'text': ""A place where I used to visits with my boys! A lot of amazing things to learn. They have workshops and also have activities for the kids & families. You will definitely learn a thing or 2 that you never knew. Behind the museum they have a fire house that's awesome to visit along with a school with school furniture &supplies from years ago so u can see how kids used to attend school. Great Place FREE for Newark Residents"", 'author_name': 'Dana Martinez', 'relative_time_description': '2 weeks ago', 'rating': 5}, {'text': 'I grew up with the Newark Museum in my backyard and although moving (not far away) I still try to get there as often as I can - renewed my affair when facilitating youth groups (once saw Whitney backing up her Mom Cissy during Black Hx Month). Then bringing my young daughter for workshops, performances and/or just spending a day - free. I try to remember to renew my membership so I can enjoy the vast array of exhibits, events and full life the museum offers', 'author_name': 'Dorothy Jones', 'relative_time_description': 'in the last week', 'rating': 5}, {'text': ""The Newark Museum is always doing something innovative. \n\nThis evening I visited the museum for the opening of the 'Wendy Red Star' exhibition and they had a very nice Members Cocktail Party and opening of the exhibit. They really did a nice job. We even got to meet the artist.\n\nThe museum is always trying to create different venues for the patrons and this exhibition showed the artists life from childhood until now and the changes that the laws on the Reservations have done to the people that live there. It was interesting to see the progression.\n\nThe opening party was very nice and the caterer did a good job with the food. It was just a nice evening oul"", 'author_name': 'Patricia Thomas', 'relative_time_description': '2 weeks ago', 'rating': 5}, {'text': 'How did I not know how great this place is? It is huge and filled with all kinds of interesting exhibits from different cultures and time periods. There is even a restored house inside it. We probably only saw 2/3 of it. We will have to come back. The staff is friendly. They have a AAA discount. The museum shop is nice. Also there is a small sculpture garden and old schoolhouse in back.', 'author_name': 'Nancy LaParo', 'relative_time_description': '2 months ago', 'rating': 5}, {'text': 'The Nina Simone Thursday event was fun. There was great music, head wrap tutorials, selfie art projects and delicious bites. I love this museum and look forward to all the events they have.', 'author_name': 'Tydera Faines', 'relative_time_description': 'a week ago', 'rating': 5}]",4.5
"['museum', 'park', 'point_of_interest', 'establishment']",Thomas Edison National Historical Park,3.917425513272831,"[{'text': 'What a cool museum. The rangers and volunteers are knowledge and very happy to answer your questions. I highly recommend giving yourself plenty of time for your visit because there is so much to see and enjoy.', 'author_name': 'Nicholas Downham', 'relative_time_description': '2 weeks ago', 'rating': 5}, {'text': ""A fascinating piece of history worth visiting. And quite aside from the remarkable artifacts of Edison's day, it puts the advancement of science and technology into perspective. I hadn't realized that Edison pioneered medical x-rays or that some of the cars of his day were powered by batteries he developed."", 'author_name': 'Remon Lapid', 'relative_time_description': 'a month ago', 'rating': 5}, {'text': ""Very neat very educational. Lot of history to you. The factory tour is really neat. Even if you're not a fan of Thomas Edison there is a great piece of History."", 'author_name': 'Justine Miller', 'relative_time_description': 'a week ago', 'rating': 5}, {'text': 'One of the coolest museum I have ever been to everything is left the way Edison had it when he died. You can literally reach out and touch a hundred years of history well worth it.', 'author_name': 'Garrett Hamelers', 'relative_time_description': 'a week ago', 'rating': 5}, {'text': ""I really enjoyed the experience, I had went there with my school as a field trip. I had enjoyed what I've seen and the guide was so nice and answered all if our questions. I would totally recommend going here to anyone!"", 'author_name': 'Kayla Tutten', 'relative_time_description': 'a month ago', 'rating': 5}]",4.7
"['museum', 'point_of_interest', 'establishment']",Montclair Art Museum,7.168092511356295,"[{'text': 'One of best place to have a day with family.  kids love to have a art class with local artists.', 'author_name': 'Frank Lynch', 'relative_time_description': 'a year ago', 'rating': 5}, {'text': 'I went here with my kids today and it was a horrible experience, not because our kids were badly behaved but because the staff there were very harshly behaving to the kids and in general very rude. I personally heard one staff member rebuking the kids saying they were being ridiculous when the kids were only five. I also witnessed one of the security members pushing a kid causing him to fall just because he was standing too close to a painting. Horribly mannered staff.', 'author_name': 'Harin Joh', 'relative_time_description': '8 months ago', 'rating': 1}, {'text': 'My first time visiting; what a lovely, friendly place! Matisse exhibit was illuminating. Will definitely be returning soon with my husband.', 'author_name': 'Barbara Berger', 'relative_time_description': 'a year ago', 'rating': 5}, {'text': 'This is where i come to have peace of mind. Staff is always helpful and friendly. They also have alot of pottery and art classes. I highly recommend the art class hosted by terri bertolo. She is a great teacher. She has definitely enhanced my ability to draw live models. Class is reasonably priced and she always snacks for the guests.', 'author_name': 'Shaniece Degazon', 'relative_time_description': 'a year ago', 'rating': 5}, {'text': 'Great museum!', 'author_name': 'David L', 'relative_time_description': '7 months ago', 'rating': 5}]",4.4
